Dataset,Method,Seed,Best Epoch,Test Overall Accuracy,Test Worst Group Accuracy
urbancars,softcon,seed_1,38,55.0,14.285714149475098
urbancars,softcon,seed_4,34,54.0,9.523809432983398
urbancars,softcon,seed_0,31,52.70000076293945,15.789473533630371
urbancars,sd,seed_3,110,84.30000305175781,42.85714340209961
urbancars,sd,seed_2,86,83.69999694824219,38.095237731933594
urbancars,sd,seed_1,115,83.5999984741211,42.105262756347656
urbancars,sd,seed_4,145,84.69999694824219,36.842105865478516
urbancars,sd,seed_0,119,84.0,42.105262756347656
urbancars,jtt,seed_3,143,63.29999923706055,23.809524536132812
urbancars,jtt,seed_5,50,64.0999984741211,52.380950927734375
urbancars,jtt,seed_2,119,65.5,36.842105865478516
urbancars,jtt,seed_1,142,63.900001525878906,52.6315803527832
urbancars,jtt,seed_4,0,0.0,0.0
urbancars,jtt,seed_0,106,60.5,9.523809432983398
urbancars,debian,seed_3,78,81.4000015258789,31.578947067260742
urbancars,debian,seed_2,83,82.19999694824219,21.052631378173828
urbancars,debian,seed_1,106,81.0999984741211,38.095237731933594
urbancars,debian,seed_4,126,82.5999984741211,42.105262756347656
urbancars,debian,seed_0,66,80.69999694824219,33.33333206176758
